0.001000	0.0200823 	
0.002000	0.024412  	
0.005000	0.0324379 	
0.008000	0.0378474 	
0.010000	0.0407736 	
0.015000	0.0492276 	
0.020000	0.0561444 	
0.025000	0.0618614 	
0.030000	0.066557  	
0.035000	0.0703478 	
0.040000	0.0733255 	
0.045000	0.0755722 	
0.050000	0.0771668 	
0.055000	0.0781868 	
0.060000	0.0787086 	
0.070000	0.0785487 	
0.080000	0.0772227 	
0.090000	0.0751713 	
0.100000	0.0727287 	
0.120000	0.0675292 	
0.140000	0.0626525 	
0.160000	0.0584188 	
0.180000	0.0548417 	
0.200000	0.0518319 	
0.250000	0.0461159 	
0.300000	0.0420401 	
0.350000	0.0389105 	
0.400000	0.0363726 	
0.450000	0.0342367 	
0.500000	0.0323931 	
0.600000	0.0293327 	
0.700000	0.026866  	
0.800000	0.02482   	
0.900000	0.0230888 	
1.000000	0.0216016 	
1.250000	0.0186538 	
1.500000	0.0164577 	
1.750000	0.0147529 	
2.000000	0.0133881 	
2.250000	0.012269  	
2.500000	0.0112848 	
3.000000	0.00985362	
3.500000	0.00876745	
4.000000	0.00791259	
4.500000	0.00722082	
5.000000	0.00664864	
5.500000	0.00616689	
6.000000	0.00575528	
6.500000	0.00539924	
7.000000	0.005088  	
7.500000	0.00481345	
8.000000	0.00456932	
8.500000	0.00435074	
9.000000	0.00415381	
9.500000	0.0039754 	
10.000000	0.00381297	
11.000000	0.00352801	
12.000000	0.00328601	
13.000000	0.00307777	
14.000000	0.00289657	
15.000000	0.00273737	
16.000000	0.00259633	
17.000000	0.00247045	
18.000000	0.00235738	
19.000000	0.00225521	
20.000000	0.00216242	
21.000000	0.00207774	
22.000000	0.00200014	
23.000000	0.00192875	
24.000000	0.00186284	
25.000000	0.00180179	
27.000000	0.00169224	
29.000000	0.00159667	
31.000000	0.00151254	
33.000000	0.00143786	
35.000000	0.0013711 	
38.000000	0.00128322	
41.000000	0.0012073 	
44.000000	0.00114103	
47.000000	0.00108264	
50.000000	0.00103077	
55.000000	0.000956063	
60.000000	0.000892985	
65.000000	0.00083897	
70.000000	0.000792159	
75.000000	0.000751173	
80.000000	0.000714968	
85.000000	0.000682735	
90.000000	0.000653841	
95.000000	0.000627783	
100.000000	0.000604151	
105.000000	0.000582616	
110.000000	0.000562903	
115.000000	0.000544785	
120.000000	0.000528072	
125.000000	0.000512601	
130.000000	0.000498237	
135.000000	0.000484861	
140.000000	0.000472373	
145.000000	0.000460684	
150.000000	0.000449718	
155.000000	0.000434279	
160.000000	0.000425229	
165.000000	0.000416695	
170.000000	0.000408633	
175.000000	0.000401005	
180.000000	0.000393776	
185.000000	0.000386915	
190.000000	0.000380395	
195.000000	0.00037419	
200.000000	0.000368277	
210.000000	0.000357251	
220.000000	0.000347174	
230.000000	0.000337927	
240.000000	0.000329411	
250.000000	0.000321542	
260.000000	0.000314249	
270.000000	0.000307471	
280.000000	0.000301156	
290.000000	0.000295257	
300.000000	0.000289734	
310.000000	0.000284554	
320.000000	0.000279685	
330.000000	0.000275101	
340.000000	0.000270777	
350.000000	0.000266692	
360.000000	0.000262827	
370.000000	0.000259166	
380.000000	0.000255693	
390.000000	0.000252393	
400.000000	0.000249256	
410.000000	0.000246269	
420.000000	0.000243422	
430.000000	0.000240707	
440.000000	0.000238113	
450.000000	0.000235635	
460.000000	0.000233264	
470.000000	0.000230994	
480.000000	0.000228819	
490.000000	0.000226733	
500.000000	0.000224733	
520.000000	0.000220965	
540.000000	0.000217484	
560.000000	0.000214259	
580.000000	0.000211265	
600.000000	0.00020848	
620.000000	0.000205885	
640.000000	0.000203464	
660.000000	0.0002012 	
680.000000	0.000199082	
700.000000	0.000197097	
720.000000	0.000195235	
740.000000	0.000193486	
760.000000	0.000191841	
780.000000	0.000190294	
800.000000	0.000188838	
820.000000	0.000187465	
840.000000	0.000186171	
860.000000	0.00018495	
880.000000	0.000183797	
900.000000	0.000182709	
920.000000	0.000181681	
940.000000	0.000180709	
960.000000	0.000179791	
980.000000	0.000178923	
1000.000000	0.000178103	
1020.000000	0.000177327	
1040.000000	0.000176594	
1060.000000	0.0001759 	
1080.000000	0.000175245	
1100.000000	0.000174626	
1120.000000	0.000174041	
1140.000000	0.000173489	
1160.000000	0.000172967	
1180.000000	0.000172475	
1200.000000	0.000172012	
1220.000000	0.000171575	
1240.000000	0.000171164	
1260.000000	0.000170777	
1280.000000	0.000170413	
1300.000000	0.000170073	
1320.000000	0.000169753	
1340.000000	0.000169454	
1360.000000	0.000169175	
1380.000000	0.000168915	
1400.000000	0.000168673	
1420.000000	0.000168448	
1440.000000	0.00016824	
1460.000000	0.000168049	
1480.000000	0.000167873	
1500.000000	0.000167712	
1520.000000	0.000167565	
1540.000000	0.000167432	
1560.000000	0.000167313	
1580.000000	0.000167207	
1600.000000	0.000167113	
1620.000000	0.000167031	
1640.000000	0.000166961	
1660.000000	0.000166902	
1680.000000	0.000166854	
1700.000000	0.000166817	
1750.000000	0.000166768	
1800.000000	0.000166778	
1850.000000	0.000166843	
1900.000000	0.000166958	
1950.000000	0.000167121	
2000.000000	0.000167329	
2100.000000	0.000167864	
2200.000000	0.000168546	
2300.000000	0.000169355	
2400.000000	0.00017028	
2500.000000	0.000171306	
2600.000000	0.000172426	
2700.000000	0.000173629	
2800.000000	0.000174909	
2900.000000	0.000176258	
3000.000000	0.000177672	
3200.000000	0.000180673	
3400.000000	0.000183879	
3600.000000	0.000187263	
3800.000000	0.000190806	
4000.000000	0.000194491	
4200.000000	0.000198304	
4400.000000	0.000202233	
4600.000000	0.000206271	
4800.000000	0.000210408	
5000.000000	0.000214638	
5250.000000	0.000220049	
5500.000000	0.000225588	
6000.000000	0.00023702	
6500.000000	0.000248885	
7000.000000	0.000261151	
7500.000000	0.000273791	
8000.000000	0.000286786	
8500.000000	0.000300121	
9000.000000	0.000313786	
9500.000000	0.00032777	
10000.000000	0.000342067	
11000.000000	0.000371576	
12000.000000	0.000402279	
13000.000000	0.000434153	
14000.000000	0.000467182	
15000.000000	0.000501356	
16000.000000	0.000536669	
17000.000000	0.000573117	
18000.000000	0.000610697	
19000.000000	0.000649409	
20000.000000	0.000689255	
21000.000000	0.000730234	
22000.000000	0.000772351	
23000.000000	0.000815607	
24000.000000	0.000860007	
25000.000000	0.000905553	
26000.000000	0.000952252	
27000.000000	0.00100011	
28000.000000	0.00104912	
29000.000000	0.0010993 	
30000.000000	0.00115065	
32000.000000	0.00125689	
34000.000000	0.00136787	
36000.000000	0.00148365	
38000.000000	0.00160428	
40000.000000	0.00172979	
42000.000000	0.00186025	
44000.000000	0.0019957 	
46000.000000	0.0021362 	
48000.000000	0.0022818 	
50000.000000	0.00243256	
